term,REMIFENTANIL,FENTANYL,SUFENTANIL,MORPHINE
LARYNGEAL STENOSIS,6,0,0,0
LARYNGITIS,0,0,0,213
LARYNGOSPASM,38,0,0,0
LEARNING DISABILITY,0,295,0,146
LEFT VENTRICULAR DYSFUNCTION,0,0,7,0
LETHARGY,0,424,0,395
LEUKOCYTOSIS,0,165,50,182
LEUKOCYTURIA,0,0,7,0
LEUKOPENIA,12,225,12,262
LIMB DISCOMFORT,0,0,0,133
LIP DRY,0,0,0,241
LIP OEDEMA,7,0,0,0
LIP SWELLING,6,0,9,0
LIVE BIRTH,15,233,23,190
LIVER DISORDER,7,139,7,374
LIVER FUNCTION TEST ABNORMAL,24,172,0,128
LIVER FUNCTION TEST INCREASED,0,214,8,221
LIVER INJURY,0,137,0,327
LOCAL ANAESTHETIC SYSTEMIC TOXICITY,26,0,0,0
LOCALISED INFECTION,0,0,0,158
LOSS OF CONSCIOUSNESS,37,1072,62,681
LOSS OF PERSONAL INDEPENDENCE IN DAILY ACTIVITIES,0,330,0,425
LOW BIRTH WEIGHT BABY,13,0,9,0
LOWER LIMB FRACTURE,0,0,0,340
LOWER RESPIRATORY TRACT INFECTION,0,0,0,535
LUNG DISORDER,0,195,22,519
LUPUS VULGARIS,0,0,0,213
LUPUS-LIKE SYNDROME,0,0,0,195
LYMPHADENOPATHY,0,141,0,183
LYMPHOCYTE COUNT DECREASED,9,0,0,131
LYMPHOPENIA,6,0,0,0
MALAISE,19,2338,26,2280
MALIGNANT NEOPLASM PROGRESSION,0,1038,0,818
MALNUTRITION,0,157,0,0
MANIA,0,0,10,0
MATERNAL EXPOSURE DURING DELIVERY,21,203,92,0
MATERNAL EXPOSURE DURING PREGNANCY,70,1172,110,650
MECHANICAL VENTILATION COMPLICATION,0,0,25,0
MEDICATION ERROR,12,366,14,256
MEMORY IMPAIRMENT,0,631,31,825
MENINGITIS ASEPTIC,0,0,13,0
MENTAL DISORDER,0,480,12,206
MENTAL IMPAIRMENT,0,198,0,0
MENTAL STATUS CHANGES,0,339,9,306
METABOLIC ACIDOSIS,51,466,70,241
METASTASES TO BONE,0,231,0,181
METASTASES TO LIVER,0,0,0,127
MIGRAINE,0,518,0,614
MIOSIS,10,340,26,254
MITRAL VALVE INCOMPETENCE,7,0,0,0
MIXED LIVER INJURY,14,0,50,0
MOBILITY DECREASED,0,383,0,784
MONOPLEGIA,7,0,8,0
MOTOR DYSFUNCTION,0,0,14,159
MOUTH ULCERATION,0,0,0,130
MOVEMENT DISORDER,0,175,0,180
MUCOSAL INFLAMMATION,0,214,0,301
MULTI-ORGAN FAILURE,0,0,9,0
MULTIPLE ORGAN DYSFUNCTION SYNDROME,34,411,117,363
MUSCLE CONTRACTURE,13,0,0,0
MUSCLE INJURY,0,0,0,221
MUSCLE RIGIDITY,20,203,0,0
